Well	Exp_ID	Batch	Media	Temperature	Stirring rate	Measurement Type	Ale_ID
A1	20	1	MG1655 R1	37	600	620a	1
A2	20	2	MG1655 R1	37	600	620a	1
A3	20	3	MG1655 R1	37	600	620a	1
A4	20	4	MG1655 R1	37	600	620a	1
A5	20	5	MG1655 R1	37	600	620a	1
A6	20	6	MG1655 R1	37	600	620a	1
A7	20	7	MG1655 R1	37	600	620a	1
B1	21	1	MG1655 R2	37	600	620a	2
B2	21	2	MG1655 R2	37	600	620a	2
B3	21	3	MG1655 R2	37	600	620a	2
B4	21	4	MG1655 R2	37	600	620a	2
B5	21	5	MG1655 R2	37	600	620a	2
B6	21	6	MG1655 R2	37	600	620a	2
B7	21	7	MG1655 R2	37	600	620a	2
B8	21	8	MG1655 R2	37	600	620a	2
B9	21	9	MG1655 R2	37	600	620a	2
B10	21	10	MG1655 R2	37	600	620a	2
B11	21	11	MG1655 R2	37	600	620a	2
B12	21	12	MG1655 R2	37	600	620a	2
B13	21	13	MG1655 R2	37	600	620a	2
B14	21	14	MG1655 R2	37	600	620a	2
C1	22	1	MG1655 R3	37	600	620a	3
C2	22	2	MG1655 R3	37	600	620a	3
C3	22	3	MG1655 R3	37	600	620a	3
C4	22	4	MG1655 R3	37	600	620a	3
C5	22	5	MG1655 R3	37	600	620a	3
C6	22	6	MG1655 R3	37	600	620a	3
C7	22	7	MG1655 R3	37	600	620a	3
C8	22	8	MG1655 R3	37	600	620a	3
C9	22	9	MG1655 R3	37	600	620a	3
C10	22	10	MG1655 R3	37	600	620a	3
C11	22	11	MG1655 R3	37	600	620a	3
C12	22	12	MG1655 R3	37	600	620a	3
D1	23	1	MG1655 R4	37	600	620a	4
D2	23	2	MG1655 R4	37	600	620a	4
D3	23	3	MG1655 R4	37	600	620a	4
D4	23	4	MG1655 R4	37	600	620a	4
D5	23	5	MG1655 R4	37	600	620a	4
D6	23	6	MG1655 R4	37	600	620a	4
D7	23	7	MG1655 R4	37	600	620a	4
D8	23	8	MG1655 R4	37	600	620a	4
D9	23	9	MG1655 R4	37	600	620a	4
D10	23	10	MG1655 R4	37	600	620a	4
